,gameDuration,gameMode,gameStartTimestamp,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,puuid,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestDragonTakedown,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,fasterSupportQuestCompletion,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,threeWardsOneSweeperCount,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,defense,flex,offense,primaryStyle,secondaryStyle,primaryPerk0,primaryVar10,primaryVar20,primaryVar30,primaryPerk1,primaryVar11,primaryVar21,primaryVar31,primaryPerk2,primaryVar12,primaryVar22,primaryVar32,primaryPerk3,primaryVar13,primaryVar23,primaryVar33,secondaryPerk0,secondaryVar10,secondaryVar20,secondaryVar30,secondaryPerk1,secondaryVar11,secondaryVar21,secondaryVar31
81,978,ARAM,1680170409342,0,0,14,0,0,0,0,157,0,0,2,253,253,253,26498,0,14,0,1,0,0,0,True,False,False,False,False,True,0,12977,12700,0,0,0,0,6673,3031,3006,3072,1043,1036,2052,24,1,12,NONE,667,4,4,94,3040,2410,7243,0,0,0,0,0,0,0,0,0,54509,19678,17054,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,1,SUPPORT,0,111,9,44,2,16,32,3,4,161,False,,14,,57989,22424,0,26061,,4901,0,59,21,316,1,1,440,335,1763,0,0,1,0,0,0,0,0,0,False,0,166,0,0,0,0,975,0,0,,0,1374.8180237530298,0.23392481282990377,0,14,8,0,0,,0,0,0,0,17,0,0,0,0,0,,0,5,978.6442075,0,795.6490400202466,0,,4,0,0,0,0,0,1.8571428571428572,2,0.7647058823529411,0,4,0,0,0,0,0,4,36,0,0,0,22,0,1,,0,0,0,3,0,6673,0,5,0,0,0,15,,0,0,0,0,0,0,0,,42,13,6,0,4,0,0,2,0,26,0,1,26,0,0,0,0.23861315129086902,0,0,0,0,0,0,2,0,-1,0,0,0,0,5002,5008,5005,8000,8100,8008,34,4,0,9111,742,260,0,9104,5,20,0,8014,635,0,0,8139,891,0,0,8135,450,5,0
82,1659,CLASSIC,1680168373069,0,0,12,0,0,0,0,902,0,0,4,2234,2234,2234,10888,0,3,2,0,0,3,4,False,False,False,False,False,False,0,7253,6135,0,0,1,1,3853,3190,3158,3067,3114,1052,3364,21,0,0,BOTTOM,0,0,0,716,23792,9082,1844,0,0,0,0,1,0,0,0,0,2101,1207,9479,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,62,26,59,6,5,14,3,4,161,False,UTILITY,31,,26589,10986,2049,11622,,6006,3123,13,263,67,6,0,695,695,299,0,4,3,0,0,60,2,5,23,True,1,153,0,0,0,0,0,0,1,0.6130981793715048,2,397.08874837073915,0.12066298262104305,0,3,3,0,0,,0,5173.32958984375,0,0,59,0,0,0,0,0,1,0,0,1660.0284835999998,0,262.1835071768705,0,,4,0,0,0,0,0,4,1,0.2926829268292683,0,0,0,0,0,0,0,10,4,0,0,1,4,0,1,,0,0,0,0,0,3190,0,0,0,0,0,11,1,0,0,0,0,0,0,0,,22,35,0,0,0,21,0,0,0,12,0,0,0,0,0,0,0.11300935318134345,0,1,0,0,2,0,0,0,2.210651159286499,2.1745674935970936,5,3,0,5002,5008,5007,8200,8400,8214,778,1076,0,8226,250,530,0,8210,10,0,0,8237,628,0,0,8473,601,0,0,8453,631,702,0
83,836,CLASSIC,1680167195735,0,0,9,0,0,0,16,25,0,0,2,3990,3990,3990,4371,0,1,0,4,0,0,0,False,False,False,False,False,False,0,10988,7800,0,1,1,0,6653,2424,3070,3041,1058,1058,3340,11,2,21,NONE,0,16,5,327,53069,20982,1634,0,0,0,0,0,0,0,0,1,12497,4561,5930,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,1,DUO,0,35,54,7,4,3,12,1,6,161,False,TOP,59,,65567,25543,0,7564,,3514,0,90,87,8,1,1,0,0,0,2,2,0,0,0,0,0,0,0,True,0,100,2,0,0,0,0,0,0,,0,1829.1355488233248,0.2319840325754962,0,1,0,0,0,,1,0,0,0,30,0,0,0,0,0,,2,0,837.8799786999999,0,786.8929353825364,0,,6,0,0,0,0,2,30,0,0.5660377358490566,0,13,0,0,0,0,0,11,57,,1,0,0,0,0,1,0,0,0,7,0,,0,15,0,0,0,11,,0,0,0,0,0,0,0,11.086056299999996,2,28,0,0,13,0,0,0,0,30,1,0,30,0,0,0,0.39835555827052294,0,1,0,0,5,5,4,0,-1,0,0,0,0,5003,5008,5008,8200,8300,8229,1819,0,0,8226,250,625,0,8210,30,0,0,8237,530,0,0,8313,0,0,0,8345,3,0,0
84,2222,CLASSIC,1679947187556,0,0,21,0,0,0,0,44,0,0,5,1093,2506,1093,56033,0,10,2,0,0,3,4,False,False,False,False,False,False,0,10526,9550,0,0,0,0,3190,3857,3121,3110,1029,3111,3364,26,0,4,BOTTOM,0,0,1,377,14865,8150,11737,0,0,0,0,1,0,0,0,0,10907,4311,20378,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,85,51,55,7,8,14,6,4,161,False,UTILITY,74,,31483,13514,3298,36021,,14602,5594,31,580,300,4,0,5709,1052,3905,1,2,2,0,0,85,3,8,29,True,0,198,0,0,0,0,150,0,0,0.00819946961572403,2,364.89181859669105,0.22960572951952976,0,10,14,0,1,1311.1356326,0,8892.7275390625,0,0,40,0,0,0,0,0,,0,0,2222.1819037,0,284.2086857902712,0,1,11,0,0,0,0,0,2.5,6,0.46296296296296297,0,0,0,0,0,0,0,0,14,0,0,0,11,3,1,,0,0,0,0,0,3190,0,2,0,0,0,20,1,0,0,0,0,0,1,0,30.3579843,78,0,0,0,0,27,0,2,0,25,0,0,5,1,0,0,0.0769216539517789,0,1,0,0,0,5,0,0,0.4850926399230957,2.3187410214163213,8,2,0,5002,5002,5005,8300,8400,8351,110,2454,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8473,777,0,0,8453,1427,1536,0
85,1139,CLASSIC,1679935447990,0,0,0,0,0,0,0,38,0,0,2,7531,7531,7531,12677,0,3,0,10,0,0,0,False,False,False,False,False,False,0,16831,15200,0,1,1,0,3040,3041,6657,3089,3020,3100,3340,14,3,44,NONE,0,27,7,541,118216,51940,3225,0,0,0,0,0,0,0,0,2,21904,7809,12988,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,2,DUO,0,55,72,38,66,2,12,2,6,160,False,TOP,21,,146825,59750,0,18214,,3732,0,116,125,34,1,2,6705,0,2000,2,3,0,3,0,0,0,0,1,True,0,231,0,0,0,0,0,0,0,,0,3143.980757800007,0.37591387328536763,0,3,0,0,0,,1,0,0,0,0,0,0,0,0,0,,4,0,1140.2790745,0,885.6339350021109,0,,0,0,0,0,0,1,14.666666666666666,0,0.6875,0,23,0,0,0,0,0,0,56,1,3,0,0,0,0,1,0,0,0,19,0,6657,0,24,0,0,0,9,,0,0,0,2,0,0,0,21.138107800000057,6,0,0,0,33,1,0,2,0,44,0,0,25,0,1,0,0.6176734682754179,0,0,0,0,7,0,5,0,-0.39983391761779785,0.03157995770353158,0,0,0,5003,5008,5008,8100,8000,8112,2463,0,0,8139,1286,0,0,8138,30,0,0,8106,5,0,0,8009,11408,0,0,9105,8,10,0
86,1450,CLASSIC,1679857019789,0,1,33,0,0,0,0,902,0,2,4,1242,1242,1242,13064,0,5,1,0,0,0,2,False,True,False,False,False,True,0,9273,8150,1,0,0,0,3190,3107,3853,3158,1026,1011,3364,16,1,3,MIDDLE,0,2,1,576,15959,9273,7244,1,0,0,0,0,0,0,0,0,4324,3078,6996,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,53,28,54,8,7,3,4,4,160,False,UTILITY,43,,20806,12875,4364,15217,,9886,5704,8,241,127,8,0,522,522,976,1,2,2,0,0,45,2,1,15,True,1,143,0,0,0,1,0,0,1,,1,532.419141696543,0.1554734888064031,0,5,0,0,0,,0,10069.30859375,0,0,85,0,0,0,0,0,1,2,0,1450.9256438,0,383.47831124397413,0,,14,0,0,0,0,0,7.2,4,0.8,0,1,0,0,0,0,0,12,4,1,0,0,0,0,2,,0,0,0,0,0,3190,0,1,0,0,0,31,1,0,0,0,0,0,18,0,15.2545740999999,8,47,0,0,0,14,0,7,0,36,0,2,18,0,0,0,0.12974386342941407,0,1,0,0,3,0,0,0,11.360581398010254,1.8639861536773492,1,1,0,5002,5008,5008,8200,8300,8214,980,1574,0,8226,250,520,0,8210,8,0,0,8237,577,0,0,8345,3,0,0,8347,0,0,0
87,1109,CLASSIC,1679855377276,0,0,12,0,0,0,2,902,0,0,5,499,499,499,7787,0,0,2,0,0,0,1,False,False,False,False,False,True,0,6190,5375,0,0,0,0,3190,3853,3158,1028,3114,2055,3364,16,1,2,NONE,0,2,1,0,8410,5809,3425,0,0,0,0,0,0,0,0,0,3593,2212,4893,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,36,19,37,3,3,3,2,4,160,False,UTILITY,22,,12004,8022,1949,8537,,4025,1217,12,128,0,4,0,0,0,218,0,1,1,0,0,28,3,1,13,True,0,95,0,0,0,0,0,0,1,0.37347141265109773,2,433.9022094654579,0.16576842618221327,0,0,0,0,0,,0,3166.858642578125,0,0,44,0,0,0,0,0,1,0,0,1109.3227849999998,0,334.8006260329585,0,1,6,0,0,0,0,0,14,1,0.5185185185185185,0,1,0,0,1,0,0,6,5,1,0,0,0,0,2,,0,0,0,0,0,,0,0,0,0,0,11,1,0,0,0,0,0,3,0,,5,23,0,0,1,11,0,10,0,14,0,0,9,0,0,0,0.16116810212436256,0,1,0,0,1,0,0,0,1.8935108184814453,1.5620974834755126,1,1,0,5002,5008,5007,8200,8400,8214,652,964,0,8226,250,167,0,8210,0,0,0,8237,318,0,0,8473,573,0,0,8453,532,381,0
88,915,CLASSIC,1679854101345,0,0,3,0,0,0,0,902,0,0,4,243,288,243,2456,0,2,2,0,0,1,6,False,False,False,False,False,True,0,3744,3600,0,0,0,0,3851,3158,3105,3067,0,0,3364,14,0,0,NONE,0,0,0,200,3540,2168,1584,0,0,0,0,0,0,0,0,0,1591,910,2696,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,25,14,20,1,2,3,2,4,160,False,UTILITY,11,,5131,3079,959,4562,,1571,848,3,69,18,2,0,0,0,281,0,0,1,0,0,28,2,3,8,False,0,60,0,0,0,0,0,0,0,,2,201.68468285009772,0.1155492823943342,0,2,0,0,1,815.8814704,0,1807.7021484375,0,0,22,0,0,0,0,0,,0,0,916.0638151999999,0,245.26536988004156,0,1,1,0,0,0,0,0,1.5,1,0.6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,0,0,,8,12,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0.14372512201876023,0,0,0,0,2,0,0,0,0.3594973087310791,1.8569837384570589,3,3,0,5002,5008,5007,8200,8400,8214,228,437,0,8226,250,140,0,8210,0,0,0,8237,213,0,0,8473,77,0,0,8453,199,170,0
89,1113,CLASSIC,1679847164260,0,0,0,0,0,0,9,131,0,0,4,9988,9988,9988,22374,0,4,0,14,0,0,0,False,False,False,True,False,False,0,18970,15510,0,0,0,0,3152,3020,3041,3115,3100,3003,3340,18,5,49,NONE,0,18,5,317,147037,67598,5096,0,4,0,0,0,0,0,0,2,21467,9563,8764,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,4,DUO,0,71,37,40,7,3,12,3,6,160,False,TOP,9,,169984,77162,0,14861,,0,0,123,54,63,0,5,1480,0,1000,3,3,1,0,0,0,0,0,0,True,0,155,0,1,0,0,0,0,0,,0,4146.738210637823,0.28954465680480457,0,4,0,0,0,,1,0,0,0,15,0,0,0,0,0,,2,0,1116.4763157999998,0,1019.4607211030998,1,,6,1,0,0,0,3,12.25,0,0.875,0,27,0,0,0,0,13,19,44,1,4,0,0,1,0,1,0,0,0,25,0,3152,0,39,0,0,0,7,,0,0,0,1,0,0,0,9.595218299999942,6,72,0,0,42,0,0,2,1,49,1,0,30,0,3,0,0.846949056826987,0,0,0,0,5,0,5,0,-1,0,0,0,0,5002,5008,5007,8200,8300,8214,4101,0,0,8275,6,0,0,8210,47,0,0,8237,734,0,0,8345,3,0,0,8347,0,0,0
90,1541,CLASSIC,1679845034675,0,0,5,0,0,0,2,902,0,0,2,10212,10212,10212,24344,0,2,0,3,0,0,0,False,False,False,False,False,False,0,16660,15500,0,0,0,0,3040,6653,3041,3020,3100,3116,3340,16,2,34,TOP,0,26,2,1256,101683,41781,4764,0,0,0,0,1,0,0,0,0,29993,15587,13303,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SOLO,0,77,32,84,4,6,12,5,6,160,False,BOTTOM,46,,134171,57368,0,18067,,5647,0,133,444,49,1,0,2495,0,0,2,3,1,0,0,3,0,0,2,True,0,197,0,0,0,0,0,0,0,,0,2228.0199772007813,0.25157215206989303,0,2,0,0,0,,1,0,0,0,98,0,0,0,0,0,,2,0,1544.9251342999999,0,647.0467512430191,0,,4,0,0,0,0,0,19.5,0,0.6724137931034483,0,15,0,0,0,0,0,11,37,1,1,0,0,1,0,,0,1,0,3,0,6653,0,16,0,0,0,6,,0,0,0,0,0,0,0,32.90712619999999,4,51,0,0,33,2,0,2,0,39,1,0,17,2,0,0,0.5380398547056798,0,0,0,0,2,0,6,0,2.2455496788024902,0.12604687204884024,0,0,0,5002,5008,5007,8200,8300,8214,5900,0,0,8275,11,0,0,8210,68,0,0,8237,826,0,0,8345,3,0,0,8347,0,0,0
91,1681,CLASSIC,1679838722734,0,0,19,0,0,0,0,902,0,0,4,895,1396,895,16110,0,9,2,0,0,3,2,False,False,False,False,False,False,0,9661,7635,0,0,0,0,3190,3853,3107,3158,1052,3114,3364,20,2,5,BOTTOM,0,2,1,270,9657,6501,2848,0,0,0,0,1,0,0,0,0,5444,2476,14260,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,51,27,56,7,5,3,3,4,160,False,UTILITY,23,,15442,9317,2782,19500,,5616,2975,16,113,229,5,0,339,339,2391,0,1,1,0,0,51,2,5,20,True,0,141,1,0,0,0,0,0,0,,2,332.3715423908224,0.1826877524401663,0,9,3,0,2,510.06332199999997,0,5758.76953125,0,0,48,0,0,0,0,0,1,1,0,1682.0582087999999,0,344.63125068204835,0,1,6,0,0,0,0,0,2.6666666666666665,0,0.4897959183673469,0,0,0,0,4,0,0,4,6,0,0,0,0,1,2,,0,0,0,0,0,3190,0,4,0,0,0,17,1,0,0,0,0,0,0,0,,21,24,0,0,3,18,0,1,0,24,1,0,9,0,0,0,0.08244258517561762,0,1,0,0,0,0,0,0,0.13561594486236572,1.820870795625056,5,5,0,5002,5008,5007,8200,8300,8214,717,1478,0,8275,8,0,0,8210,13,0,0,8237,375,0,0,8345,3,0,0,8347,0,0,0
92,930,ARAM,1679774948834,0,0,45,0,0,0,0,350,0,0,2,182,182,182,3700,0,3,0,0,0,0,0,False,False,True,False,False,False,0,12035,11400,0,0,1,0,6655,3089,3116,4632,3108,0,2052,11,2,11,NONE,0,7,1,610,20506,15825,3418,0,0,0,0,0,0,0,0,0,504,98,2791,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,86,178,48,6,6,3,0,13,159,False,,20,,21011,15924,6193,6363,,5029,4313,2,212,64,5,0,0,0,153,0,4,0,0,0,0,0,0,0,True,1,318,4,0,0,0,150,0,0,,0,1026.1669221995455,0.07226606494825089,0,3,0,0,0,,0,10507.375,0,0,0,0,0,0,0,0,,3,11,931.0880112,0,775.5678990276854,0,,0,0,0,0,0,2,18.666666666666668,20,0.875,0,7,0,1,0,0,0,40,2,0,0,0,0,1,2,,0,0,0,0,0,6655,0,1,0,0,0,33,,0,0,0,0,0,9,0,13.346074699999974,4,79,0,0,0,0,0,0,1,56,0,0,53,0,0,0,0.14370601765075655,0,0,0,0,0,0,0,0,-1,0,0,0,0,5002,5008,5008,8200,8000,8214,1687,1032,0,8226,250,246,0,8210,27,0,0,8237,625,0,0,8009,7688,0,0,8017,1249,0,0
93,1780,CLASSIC,1679753170758,0,0,7,0,0,0,0,235,0,0,4,3296,4566,3296,8923,0,7,2,1,0,1,8,False,False,False,False,False,True,0,9740,9000,0,0,0,1,3864,3042,3134,6692,3009,1036,3364,23,1,6,BOTTOM,544,3,2,532,0,0,9437,0,0,0,0,0,0,0,0,0,55846,16591,10093,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,50,45,23,9,4,14,3,4,159,False,UTILITY,40,,61498,17093,1348,19985,,10392,2130,44,204,189,5,0,5652,502,454,3,3,4,0,0,64,2,8,21,False,0,127,0,0,0,0,0,0,1,0.02520679077128533,2,576.0872730840148,0.1586453774699126,0,7,4,0,0,,1,3479.24072265625,0,0,26,0,0,0,0,0,1,0,1,1780.3025624,0,328.28908894121133,0,1,1,0,0,0,0,0,1.8571428571428572,0,0.4642857142857143,0,4,1,0,0,0,0,5,9,1,0,0,38,0,2,,0,0,0,1,1,6692,0,1,0,0,0,7,1,0,0,0,0,0,0,0,12.067284099999824,29,32,0,0,2,19,0,0,0,13,0,0,4,0,0,0,0.19707545731839474,0,1,0,0,1,0,1,0,0.9102704524993896,2.184114792887587,8,5,0,5002,5008,5005,8000,8300,8021,2473,1925,0,8009,2130,0,0,9104,25,50,0,8017,983,0,0,8345,3,0,0,8410,69,0,0
94,1868,CLASSIC,1679750806027,0,0,7,0,0,0,0,43,0,0,5,145,1606,145,10610,0,6,3,0,0,2,8,False,False,False,False,False,True,0,7405,6210,0,0,0,0,3853,2065,3114,3158,1052,3067,3364,20,0,1,BOTTOM,0,0,1,483,23204,7875,5105,0,0,0,0,0,0,0,2,0,4626,648,11302,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,SUPPORT,0,60,17,71,25,5,14,3,4,159,False,UTILITY,23,,28514,9208,1547,16710,,1710,0,34,134,170,1,0,684,684,302,0,1,7,0,0,65,3,5,29,False,0,173,0,0,0,0,0,0,0,,3,295.689460079549,0.14999575603800785,0,6,2,0,1,481.26897249999996,0,1547.5960693359375,0,0,9,0,0,0,0,0,,0,0,1868.4552347,0,237.79349681748627,0,,2,0,0,0,0,0,1.3333333333333333,1,0.32,0,1,0,0,0,0,0,6,7,0,0,0,10,0,1,,0,0,0,0,0,2065,0,0,0,0,0,8,1,0,0,0,0,0,0,0,,16,20,0,0,0,26,0,0,0,8,0,0,4,0,0,0,0.10812276572627692,0,0,0,0,0,0,1,0,0.22363817691802979,2.1002257003430373,5,2,0,5002,5008,5008,8200,8300,8229,868,0,0,8226,250,65,0,8210,3,0,0,8237,481,0,0,8345,3,0,0,8347,0,0,0
95,924,CLASSIC,1679749431707,0,0,5,0,0,0,27,50,0,0,2,7076,7076,7076,10973,0,1,0,10,0,0,0,False,False,False,True,False,False,0,13907,12750,0,0,0,0,3041,3070,6653,3089,4637,1026,3340,12,2,33,NONE,0,27,3,363,97963,36710,3676,0,0,0,0,1,0,0,0,0,13719,7543,13382,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,0,DUO,0,100,30,67,8,2,12,2,6,159,False,BOTTOM,50,,111683,44253,0,19058,,14372,0,106,204,10,1,1,0,0,2000,3,3,0,0,0,1,0,0,1,True,0,205,2,0,0,0,0,0,0,,0,2870.622850325524,0.3846381276869536,0,1,0,0,0,,1,0,0,0,55,0,0,0,0,0,,1,0,924.9581551,0,902.1735614391471,0,,3,0,0,0,0,3,38,0,0.5588235294117647,0,29,0,0,0,0,11,36,72,1,1,0,0,0,0,1,0,1,0,11,0,,0,25,0,0,0,10,,0,0,1,0,0,0,0,,3,151,0,0,25,1,0,0,1,38,2,0,36,1,2,0,0.4713535269484183,0,0,0,0,5,0,4,0,0.5740697383880615,0.10210643993194811,0,0,0,5002,5008,5008,8000,8400,8010,1013,0,0,8009,7439,0,0,9105,7,40,0,8299,1327,0,0,8429,22,11,10,8451,195,0,0
96,1221,CLASSIC,1679747838681,0,0,1,0,0,0,6,113,0,0,2,6402,6402,6402,29649,0,2,0,9,0,0,0,False,False,False,True,False,False,0,17208,14380,0,0,0,0,3084,1054,3121,3111,3083,3748,3340,10,3,46,JUNGLE,0,36,5,1059,15827,11602,7864,0,0,0,0,0,0,0,0,1,149680,54256,29339,0,RKmBWrKuzlo4ZGADQc6zoxtRBRdPakcXDN6cipGyK1EGxIaUTwqu4U4zRoEdm_PQ1r2_y5jYkrxvHw,3,NONE,0,29,70,35,4,4,12,5,6,159,False,TOP,47,,165508,65858,0,42203,,3378,0,155,144,45,1,4,0,0,5000,2,2,0,0,0,1,0,0,1,True,0,138,0,0,0,0,0,0,0,,0,3230.8822467459004,0.5127276938451777,0,2,0,0,0,,1,0,0,0,59,0,0,0,0,0,,1,0,1223.0493033999999,0,844.2333924148492,0,,2,0,0,0,0,2,23.5,0,0.8103448275862069,0,32,0,0,0,0,0,0,72,1,1,0,0,1,0,,0,1,0,17,0,3084,0,35,0,0,0,8,,0,0,0,0,0,0,0,8.252578399999948,6,4,0,0,39,1,0,0,1,47,0,0,24,0,0,0,0.7067663023998385,0,0,0,0,5,0,7,0,0.5501136779785156,0.07604502976303396,0,0,0,5001,5002,5005,8400,8300,8437,6450,3430,0,8446,4809,0,0,8444,3938,0,0,8451,380,0,0,8345,3,0,0,8347,0,0,0
